"GBSid","PH","LW","FT"
3316,162.4,26.6,54
2285,163.8,23.8,57
4344,214.9,43,79
5194,177.67,34.79,76
474,125.33,33.53,74
1367,164,36.3,64
116,183.4,37.8,69
2834,97.8,16.2,57
4901,133.27,27.6,80
5230,158.6,28.4,62
4458,157.4,23.2,61
1056,173.4,28,60
1674,132,21,59
3980,152,35.2,61
5311,167.8,26.5,63
1452,210.24,40.5,71
4486,168.7,26.9,62
2573,183,34.9,69
4287,150.8,40.25,50
2249,155.2,25.5,60
3632,128,10.4,64
4241,138.8,28.2,39
4919,130.4,26.93,77
2098,153.6,23.2,62
5474,111.9,31.01,38
248,179.6,37.6,54
1203,160.4,24.6,69
5145,137.4,34.4,55
2749,102,21,66
5656,193.6,24.2,103
3768,188.4,27.8,62
2960,134.6,30.15,53
1324,128.52,33.92,51
4555,214.6,34.68,95
4136,105.3,28,42
638,150,21.6,53
1663,90.7,23.5,47
1325,182,33.2,65
3314,191.4,34.8,55
2378,150.6,14.3,50
1377,183,42,66
1231,121.5,24.1,102
5286,144.2,27.8,58
3061,190.6,32.2,56
5144,114,19.8,46
3979,149,37,67
448,178.6,17,50
5325,136.824,21.595,44
1299,143.4,30.04,71
1244,149.6,36.6,84
529,175.56,21.34,79
1476,136,21.8,59
1147,165,32.94,65
1483,149.4,33.6,54
1096,219.8,35.84,59
4249,147.3,33,90
3905,128.92,22.96,55
2470,141.2,36.1,64
4601,144,23.9,63
2897,119.6,25.36,60
2260,161.6,33.6,76
5236,160.8,28.4,50
4377,192.9,40.35,64
2289,202.2,34.16,61
339,147.6,33.2,71
2631,139.33,35,56
4978,187,30.6,62
5333,162.4,18.4,59
3862,158,22.64,55
4161,149.6,31.7,46
1289,178.2,25.98,53
3199,134.2,36.7,46
2451,164.4,35.6,89
5947,82.7,25.9,47
3043,155.44,38.9,63
2734,149.6153846,18.3,59
3778,144.9,25.28,56
760,97,21.8,41
4683,154.2,30.4,79
1851,148,33.6,63
4833,145.1,35.1,63
3840,174,30.88,64
5919,113.6,24.9,58
739,142.8,26,54
133,209.8,28.6,74
4800,125.27,19.6,59
614,100.6,22.5,34
681,106.3,17,37
1167,161.066,35.86666667,62
3802,150.6,24.2,66
5647,120,9.8,52
1936,188,21.3,71
3310,203.2,35,55
3293,170.4,34.6,60
4147,128.3,23.3,56
1757,107,18.8,73
4755,192.3,26.65,62
5968,178.2,20.72,52
4419,133.07,31.7,56
5652,117.4,10.8,40
2595,135.2,28.4,53
1839,NA,NA,NA
228,180.4,31.2,49
